property_type_location,Property,price,relative_url,property_status,last_updated,num_bedrooms,num_bathrooms,num_parking,area,furnishing,counting,scraped_date
Condominium • Makati,"Perla Mansion, Legazpi Village, Makati","Php 6,000,000",https://www.hoppler.com.ph/makati-legaspi-village-perla-mansion-rs4934881,Available,"October 16, 2024",1,1,1,33 sqm,Fully Furnished,1,2024-10-26
Townhouse • Makati,"Metropolitan Townhomes, Makati","Php 20,000,000",https://www.hoppler.com.ph/makati-metropolitan-townhomes-rs4856383,Available,"February 19, 2024",3,3,2,131 sqm,Semi-Furnished,2,2024-10-26
Townhouse • Makati,"Guadalupe Nuevo, Makati","Php 17,000,000",https://www.hoppler.com.ph/makati-guadalupe-nuevo-rs4916883,Available,"September 26, 2024",4,3,4,148 sqm,,3,2024-10-26
House and Lot • Makati,"Urdaneta Village, Makati","Php 500,000,000",https://www.hoppler.com.ph/makati-urdaneta-village-rs4850882,Available,"May 6, 2024",4,4,4,500 sqm,,4,2024-10-26
Industrial Lot • Parañaque,"La Huerta, Parañaque","Php 400,000,000",https://www.hoppler.com.ph/paranaque-la-huerta-cs0379677,Available,"January 19, 2024",,,,"3,560 sqm",,5,2024-10-26
Building • Makati,"Singkamas, Makati","Php 200,160,000",https://www.hoppler.com.ph/makati-singkamas-cs0375675,Available,"February 16, 2023",,,,"1,685 sqm",,6,2024-10-26
House and Lot • Makati,"Dasmariñas Village, Makati","Php 1,165,350,000",https://www.hoppler.com.ph/makati-dasmarinas-village-rs4876182,Available,"May 7, 2024",5,10,6,800 sqm,Semi-Furnished,7,2024-10-26
House and Lot • Makati,"Dasmariñas Village, Makati","Php 730,000,000",https://www.hoppler.com.ph/makati-dasmarinas-village-rs4772982,Available,"May 7, 2024",4,4,4,500 sqm,,8,2024-10-26
House and Lot • Makati,"San Lorenzo Village, Makati","Php 312,200,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-rs4571382,Available,"May 7, 2024",6,5,4,500 sqm,Semi-Furnished,9,2024-10-26
Warehouse • Makati,"Chino Roces, Makati","Php 325,350,000",https://www.hoppler.com.ph/makati-chino-roces-cs0379574,Available,"June 13, 2023",,,,675 sqm,,10,2024-10-26
Office Space • Taguig,"Park Triangle Corporate Plaza Tower, Park Triangle Corporate Center, BGC - Bonifacio Global City, Taguig","Php 738,999,800",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-park-triangle-corporate-center-cs0385573,Available,"January 10, 2024",,,,"1,645 sqm",,11,2024-10-26
Office Space • Taguig,"Tower 2, High Street South Corporate Plaza, BGC - Bonifacio Global City, Taguig","Php 27,999,920",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-high-street-south-corporate-plaza-cs0391373,Available,"September 27, 2024",,,,95 sqm,,12,2024-10-26
Townhouse • Taguig,"Mahogany Place 3, Taguig","Php 23,000,000",https://www.hoppler.com.ph/taguig-mahogany-place-3-rs4628983,Available,"September 22, 2022",2,3,1,233 sqm,Semi-Furnished,13,2024-10-26
Office Space • Taguig,"One Park Drive Tower, One Park Drive, BGC - Bonifacio Global City, Taguig","Php 17,999,995",https://www.hoppler.com.ph/taguig-bgc-bonifacio-global-city-one-park-drive-cs0381273,Available,"March 9, 2024",,,,65 sqm,,14,2024-10-26
House and Lot • Makati,"Palm Village, Makati","Php 50,000,000",https://www.hoppler.com.ph/makati-palm-village-rs4510982,Available,"February 25, 2022",5,5,1,267 sqm,Fully Furnished,15,2024-10-26
Townhouse • Taguig,"AFPOVAI Subdivision, Taguig","Php 49,800,000",https://www.hoppler.com.ph/taguig-afpovai-subdivision-rs4513883,Available,"August 29, 2022",4,4,2,410 sqm,,16,2024-10-26
House and Lot • Makati,"Forbes Park, Makati","Php 4,000,000,000",https://www.hoppler.com.ph/makati-forbes-park-rs0094682,Available,"January 29, 2022",10,14,10,"1,750 sqm",Fully Furnished,17,2024-10-26
House and Lot • Makati,"Poblacion, Makati","Php 120,000,000",https://www.hoppler.com.ph/makati-poblacion-rs4913482,Available,"August 9, 2024",3,3,2,400 sqm,,18,2024-10-26
House and Lot • Makati,"Magallanes, Makati","Php 180,000,000",https://www.hoppler.com.ph/makati-magallanes-rs4561182,Available,"May 15, 2022",4,5,2,458 sqm,Semi-Furnished,19,2024-10-26
Office Space • Makati,"Burgundy Corporate Tower, Burgundy Corporate Tower, San Lorenzo Village, Makati","Php 12,144,800",https://www.hoppler.com.ph/makati-san-lorenzo-village-burgundy-corporate-tower-cs0371173,Available,"September 27, 2022",,,,127 sqm,,20,2024-10-26
House and Lot • Makati,"Magallanes, Makati","Php 180,000,000",https://www.hoppler.com.ph/makati-magallanes-rs4624382,Available,"September 15, 2022",3,3,3,400 sqm,,21,2024-10-26
House and Lot • Makati,"Magallanes, Makati","Php 400,000,000",https://www.hoppler.com.ph/makati-magallanes-rs0876882,Available,"November 15, 2022",6,6,4,750 sqm,Semi-Furnished,22,2024-10-26
House and Lot • Makati,"Poblacion, Makati","Php 72,500,000",https://www.hoppler.com.ph/makati-poblacion-rs4668082,Available,"March 8, 2023",5,5,5,300 sqm,,23,2024-10-26
Condominium • Makati,"San Antonio Residence, San Antonio Village, Makati","Php 4,656,000",https://www.hoppler.com.ph/makati-san-antonio-village-san-antonio-residence-rs4805081,Available,"August 14, 2024",1,1,1,38 sqm,Fully Furnished,24,2024-10-26
